# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.000000 ,0.120000  ,0.001715  ,-45.842375
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.000000 ,0.120000  ,0.001715  ,-2.249676 
0.040000  ,0.193685  ,0.177521  ,0.361380  ,0.000000  ,0.000000  ,-0.000000 ,0.120000  ,0.001644  ,0.008609  
0.080000  ,0.215735  ,0.176757  ,0.741780  ,0.000000  ,0.000000  ,0.000000  ,0.120000  ,0.001380  ,-0.196471 
0.120000  ,0.252997  ,0.175624  ,1.122180  ,0.000000  ,0.000000  ,0.000000  ,0.120000  ,0.000977  ,-0.349266 
0.160000  ,0.305470  ,0.174113  ,1.502580  ,0.000000  ,0.000000  ,0.000000  ,0.240000  ,0.000374  ,-0.319782 
0.200000  ,0.373157  ,0.172284  ,1.882980  ,0.000000  ,0.000000  ,-0.000000 ,0.240000  ,-0.000281 ,-0.268491 
0.240000  ,0.456058  ,0.170217  ,2.263380  ,0.000000  ,0.000000  ,0.000000  ,0.240000  ,-0.001210 ,-0.210098 
0.280000  ,0.554176  ,0.168006  ,2.643780  ,0.000000  ,0.000000  ,-0.000000 ,0.370000  ,0.007299  ,-0.148612 
0.320000  ,0.667505  ,0.165362  ,3.024180  ,0.000000  ,0.000000  ,-0.000000 ,0.370000  ,0.009738  ,-0.073201 
0.360000  ,0.796034  ,0.161914  ,3.404580  ,0.000000  ,0.000000  ,0.000000  ,0.490000  ,0.003688  ,-0.015051 
0.400000  ,0.939772  ,0.158005  ,3.784980  ,0.000000  ,0.000000  ,-0.000000 ,0.490000  ,-0.001681 ,0.000955  
0.440000  ,1.098730  ,0.154073  ,4.165380  ,0.000000  ,0.000000  ,-0.000000 ,0.610000  ,0.007067  ,0.032789  
0.480000  ,1.272911  ,0.150249  ,4.545780  ,0.000000  ,0.000000  ,-0.000000 ,0.730000  ,-0.005346 ,0.101378  
0.520000  ,1.462309  ,0.146270  ,4.926180  ,0.000000  ,0.000000  ,0.000000  ,0.860000  ,-0.005203 ,0.078316  
0.560000  ,1.666921  ,0.142075  ,5.306580  ,0.000000  ,0.000000  ,0.000000  ,0.980000  ,-0.003037 ,0.063343  
0.600000  ,1.886747  ,0.137640  ,5.686980  ,0.000000  ,0.000000  ,0.000000  ,1.100000  ,0.007309  ,0.009806  
0.640000  ,2.121778  ,0.132501  ,6.067380  ,0.000000  ,0.000000  ,0.000000  ,1.220000  ,-0.006231 ,-0.106547 
0.680000  ,2.371452  ,0.126451  ,6.409568  ,0.000000  ,0.000000  ,0.000000  ,1.350000  ,-0.005347 ,-0.242074 
