# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.002555 ,0.243246  ,0.000000  ,0.000000  ,0.000000  ,0.011139  ,100.000000,-0.000947 ,-92.851535
0.000000  ,0.186748  ,0.177792  ,0.000000  ,0.000000  ,0.000000  ,-0.010043 ,0.120000  ,0.001948  ,16.823781 
0.040000  ,0.193685  ,0.177521  ,0.361380  ,0.000000  ,0.000000  ,-0.011789 ,0.120000  ,0.001877  ,0.008609  
0.080000  ,0.215735  ,0.176757  ,0.741780  ,0.000000  ,0.000000  ,0.012988  ,0.120000  ,0.001614  ,-0.196471 
0.120000  ,0.252997  ,0.175624  ,1.122180  ,0.000000  ,0.000000  ,0.002133  ,0.120000  ,0.001214  ,-0.349266 
0.160000  ,0.305470  ,0.174113  ,1.502580  ,0.000000  ,0.000000  ,0.020142  ,0.240000  ,0.000621  ,-0.319782 
0.200000  ,0.373157  ,0.172284  ,1.882980  ,0.000000  ,0.000000  ,0.014849  ,0.240000  ,-0.000019 ,-0.268491 
0.240000  ,0.456057  ,0.170169  ,2.263380  ,0.000000  ,0.000000  ,-0.014396 ,0.240000  ,-0.000803 ,-0.204031 
0.280000  ,0.554164  ,0.167520  ,2.643780  ,0.000000  ,0.000000  ,-0.016331 ,0.370000  ,0.008594  ,-0.085579 
0.320000  ,0.667473  ,0.164148  ,3.024180  ,0.000000  ,0.000000  ,-0.004319 ,0.370000  ,0.011679  ,0.007918  
0.360000  ,0.796000  ,0.160607  ,3.404580  ,0.000000  ,0.000000  ,-0.016020 ,0.490000  ,0.004017  ,-0.000388 
0.400000  ,0.939747  ,0.157073  ,3.784980  ,0.000000  ,0.000000  ,-0.005803 ,0.490000  ,-0.002314 ,0.028567  
0.440000  ,1.098716  ,0.153558  ,4.165380  ,0.000000  ,0.000000  ,-0.013866 ,0.610000  ,0.005727  ,0.054925  
